name,program_family,tissue_scope,recommended_hierarchy,recommended_integration_mode,recommended_report_block_preset,description,n_programs,n_status_programs,n_state_programs,n_modifier_programs
cell_cycle,cell_cycle,pan-tissue,,flag_only,off,Cell-cycle/proliferation auxiliary programs for flag-only scoring.,3,0,0,3
fibrosis,fibrosis,stromal,,flag_only,lineage_aware,Fibrosis and stromal remodeling auxiliary programs.,3,0,0,3
immune_lymphoid_states,immune_state,lymphoid/lymphoma-context,immune_core or tme_core,flag_only,lineage_aware,Lymphoid immune subtype/state programs for lymphoma-context flag-only annotation. These do not establish malignant status by themselves.,8,0,6,2
inflammation,inflammation,pan-tissue,,flag_only,off,Inflammatory and antigen-presentation auxiliary programs for flag-only scoring.,2,0,0,2
stress,stress,pan-tissue,,flag_only,off,"Stress, hypoxia, interferon, and UPR auxiliary programs for flag-only scoring.",3,0,0,3
tumor_breast,tumor,breast,breast_tme,integrate,tumor_reportable,"Breast-focused tumor-state marker programs, plus tumor_general by default.",2,0,2,0
tumor_colon,tumor,colon,colon_tme,integrate,tumor_reportable,"Colon-focused tumor-state marker programs, plus tumor_general by default.",2,0,2,0
tumor_general,tumor,pan-solid-tumor,,integrate,tumor_reportable,"Shared solid-tumor status, state, and modifier programs. Status programs establish tumor-like support; state/modifier programs add context.",6,3,1,2
tumor_skin,tumor,skin,skin_tme,integrate,tumor_reportable,"Skin-focused tumor-state programs: reusable squamous states plus melanocytic state descriptors, with tumor_general added by default.",4,0,4,0
tumor_squamous,tumor,squamous,skin_tme or tonsil_tme,integrate,tumor_reportable,Reusable squamous tumor-state programs. These decorate solid-tumor calls after squamous lineage is established by the normal hierarchy.,3,0,3,0
tumor_tonsil,tumor,tonsil/oropharyngeal squamous,tonsil_tme,integrate,tumor_reportable,"Tonsil/oropharynx squamous tumor-state programs, plus tumor_general by default.",3,0,3,0
